"cog","birthyear","gender","position"
4480.02622264108,1978.26257831417,"male","final"
4342.98310065428,1969.37013481744,"male","final"
4363.55134941005,1973.5225098813,"male","initial"
4239.96374827547,1966.10267028213,"male","initial"
5434.9045258327,1966.90495342016,"female","medial"
4169.81679237493,1964.84104503412,"male","initial"
5225.10170789447,1984.7560654534,"female","medial"
6100.3182125975,1940.63586232252,"female","initial"
6094.07176910048,1975.43650248088,"female","final"
3748.33443774289,1956.85916067567,"male","medial"
6198.41553235551,1962.78063273989,"female","initial"
3824.18169029209,1980.86908970494,"male","final"
5574.90130873915,1983.72106504627,"female","initial"
3985.14465781297,1998.74821947888,"male","medial"
3912.30908785229,1983.43409040477,"male","final"
3870.25302751337,1965.55995304603,"male","final"
3505.562648377,1956.86083952896,"male","medial"
4194.84491046445,1943.16502363887,"male","final"
5543.858678997,1999.64119719807,"female","initial"
4496.70621874797,1974.8592402786,"male","final"
4219.9632512317,1972.68675188068,"male","final"
5616.15989161696,1960.52222335245,"female","final"
6017.52791479597,1977.31306212954,"female","medial"
6000.16581100461,1990.47687514685,"female","final"
4351.94734466448,1970.80853547901,"male","medial"
5184.84609399521,1999.50627177488,"female","medial"
5002.58692387896,1965.63225985505,"female","medial"
5932.10105560072,1940.92266938183,"female","medial"
4292.77481422113,1940.04632609431,"male","final"
4305.07772664851,1943.77344408538,"male","final"
6312.28223011133,1954.41054992378,"female","initial"
5662.44566557541,1966.75821040757,"female","final"
4637.01935021264,1974.17062826455,"male","initial"
5735.56841171572,1972.08669108339,"female","final"
6493.67828633364,1949.76961434353,"female","final"
5597.08812671691,1984.07493015286,"female","initial"
3740.17827197015,1977.90669735987,"male","final"
4193.32650862881,1991.09630479012,"male","medial"
5753.60320948054,1993.77518764231,"female","medial"
5431.49839927752,1981.40861448366,"female","medial"
6528.18477083174,1944.61412773933,"female","initial"
4061.16508253115,1981.23640751466,"male","medial"
3511.89222033423,1987.1590988664,"male","initial"
3823.13667752522,1990.74266213924,"male","medial"
6541.7447821317,1971.42533201724,"female","initial"
4388.43393489879,1970.02754963934,"male","medial"
4569.67874631097,1950.78685116488,"male","medial"
4105.55066490382,1992.57457074709,"male","initial"
6125.18690603196,1971.82584741618,"female","final"
6794.09368631116,1948.54368706234,"female","initial"
5902.88759148609,1969.43754229229,"female","final"
4247.8862472707,1952.49019885436,"male","final"
3605.66051938944,1999.12057458889,"male","initial"
4228.77294898369,1949.16172711179,"male","initial"
5949.34665709607,1945.66919072066,"female","initial"
5337.35875916825,1977.71626433358,"female","final"
6315.78566054252,1966.84102277271,"female","final"
3664.8844788339,1976.66795141064,"male","initial"
5411.87045016332,1985.35467999522,"female","final"
5538.16864915159,1976.50257664267,"female","final"
3657.44806892035,1964.06131153461,"male","medial"
5880.85934921313,1958.10766239185,"female","medial"
4025.46889159542,1996.57394946553,"male","final"
3908.90085592498,1955.63985941466,"male","initial"
4473.66216440613,1998.30550244078,"male","initial"
3940.23410116927,1983.98739325814,"male","medial"
6208.75954036841,1977.2735313559,"female","medial"
5770.32357246906,1979.62061320432,"female","medial"
3841.9455513774,1942.08402443677,"male","initial"
4174.24881148248,1975.8657114394,"male","initial"
4141.53911997407,1985.99578589667,"male","initial"
